strategy,wins,losses,draws
"[[8.0, 8.0, 8.0], [8.0, 8.0, 36.0], [8.0, 8.0, 8.0]]",2414,2883,51
"[[16.0, 16.0, 0.0], [16.0, 0.0, 16.0], [16.0, 20.0, 0.0]]",2414,2542,392
"[[3.0, 1.0, 3.0], [1.0, 2.0, 20.0], [20.0, 30.0, 20.0]]",2413,2572,363
"[[0.0, 0.0, 0.0], [0.0, 25.0, 25.0], [25.0, 20.0, 5.0]]",2413,2425,510
"[[13.0, 12.0, 12.0], [12.0, 13.0, 13.0], [13.0, 0.0, 12.0]]",2412,2669,267
"[[0.0, 13.0, 12.0], [13.0, 13.0, 12.0], [13.0, 12.0, 12.0]]",2412,2675,261
"[[12.0, 12.0, 12.0], [14.0, 14.0, 14.0], [16.0, 6.0, 0.0]]",2412,2628,308
"[[12.0, 11.0, 12.0], [11.0, 8.0, 11.0], [12.0, 11.0, 12.0]]",2412,2753,183
"[[12.0, 12.0, 11.0], [11.0, 11.0, 11.0], [12.0, 11.0, 9.0]]",2411,2760,177
"[[19.0, 17.0, 0.0], [14.0, 0.0, 16.0], [1.0, 15.0, 18.0]]",2408,2467,473
"[[8.0, 10.0, 13.0], [20.0, 14.0, 11.0], [20.0, 2.0, 2.0]]",2408,1374,1566
"[[30.0, 30.0, 1.0], [2.0, 30.0, 2.0], [1.0, 3.0, 1.0]]",2407,2615,326
"[[13.0, 13.0, 13.0], [11.0, 0.0, 11.0], [13.0, 13.0, 13.0]]",2407,2680,261
"[[0.0, 17.0, 15.0], [19.0, 17.0, 0.0], [17.0, 15.0, 0.0]]",2406,2590,352
"[[0.0, 0.0, 0.0], [20.0, 20.0, 0.0], [20.0, 20.0, 20.0]]",2406,1487,1455
"[[5.0, 14.0, 9.0], [14.0, 9.0, 14.0], [9.0, 14.0, 12.0]]",2406,2585,357
"[[15.0, 0.0, 17.0], [0.0, 17.0, 17.0], [17.0, 17.0, 0.0]]",2406,2571,371
"[[17.0, 16.0, 17.0], [0.0, 0.0, 15.0], [20.0, 0.0, 15.0]]",2406,2565,377
"[[15.0, 0.0, 17.0], [0.0, 17.0, 17.0], [17.0, 17.0, 0.0]]",2406,2571,371
"[[0.0, 0.0, 0.0], [20.0, 20.0, 0.0], [20.0, 20.0, 20.0]]",2406,1487,1455
"[[0.0, 0.0, 0.0], [20.0, 20.0, 0.0], [20.0, 20.0, 20.0]]",2406,1487,1455
"[[0.0, 0.0, 20.0], [0.0, 20.0, 20.0], [20.0, 20.0, 0.0]]",2405,1489,1454
"[[17.0, 23.0, 7.0], [6.0, 7.0, 22.0], [3.0, 15.0, 0.0]]",2405,2076,867
"[[2.0, 2.0, 2.0], [30.0, 1.0, 2.0], [30.0, 30.0, 1.0]]",2405,2611,332
"[[0.0, 0.0, 20.0], [0.0, 20.0, 20.0], [20.0, 20.0, 0.0]]",2405,1489,1454
"[[0.0, 0.0, 20.0], [0.0, 20.0, 20.0], [20.0, 20.0, 0.0]]",2405,1489,1454
"[[0.0, 15.0, 15.0], [0.0, 15.0, 15.0], [10.0, 15.0, 15.0]]",2404,2561,383
"[[15.0, 0.0, 0.0], [15.0, 15.0, 15.0], [15.0, 10.0, 15.0]]",2404,2567,377
"[[16.0, 8.0, 16.0], [13.0, 15.0, 10.0], [6.0, 4.0, 12.0]]",2403,2206,739
"[[12.0, 12.0, 12.0], [1.0, 20.0, 1.0], [14.0, 14.0, 14.0]]",2403,1817,1128
"[[0.0, 13.0, 13.0], [13.0, 13.0, 12.0], [12.0, 12.0, 12.0]]",2403,2678,267
"[[0.0, 13.0, 13.0], [13.0, 13.0, 12.0], [12.0, 12.0, 12.0]]",2403,2678,267
"[[21.0, 16.0, 16.0], [16.0, 16.0, 15.0], [0.0, 0.0, 0.0]]",2403,2407,538
"[[15.0, 10.0, 15.0], [0.0, 20.0, 0.0], [15.0, 10.0, 15.0]]",2403,2252,693
"[[14.0, 14.0, 14.0], [14.0, 14.0, 14.0], [0.0, 14.0, 2.0]]",2402,2699,247
"[[15.0, 15.0, 16.0], [17.0, 18.0, 19.0], [0.0, 0.0, 0.0]]",2402,2584,362
"[[15.0, 15.0, 16.0], [17.0, 18.0, 19.0], [0.0, 0.0, 0.0]]",2402,2584,362
"[[0.0, 15.0, 16.0], [15.0, 15.0, 20.0], [11.0, 0.0, 8.0]]",2402,2417,529
"[[15.0, 15.0, 16.0], [17.0, 18.0, 19.0], [0.0, 0.0, 0.0]]",2402,2584,362
"[[14.0, 12.0, 12.0], [13.0, 12.0, 0.0], [12.0, 12.0, 13.0]]",2402,2637,309
"[[15.0, 15.0, 16.0], [17.0, 18.0, 19.0], [0.0, 0.0, 0.0]]",2402,2584,362
"[[0.0, 15.0, 0.0], [15.0, 30.0, 15.0], [0.0, 15.0, 10.0]]",2401,2262,685
"[[15.0, 16.0, 17.0], [18.0, 19.0, 15.0], [0.0, 0.0, 0.0]]",2400,2575,373
"[[18.0, 18.0, 19.0], [18.0, 11.0, 16.0], [0.0, 0.0, 0.0]]",2400,2599,349
"[[3.0, 10.0, 2.0], [10.0, 50.0, 10.0], [3.0, 10.0, 2.0]]",2400,2719,229
"[[18.0, 18.0, 18.0], [18.0, 18.0, 10.0], [0.0, 0.0, 0.0]]",2399,2562,387
"[[20.0, 0.0, 11.0], [11.0, 21.0, 17.0], [20.0, 0.0, 0.0]]",2399,2016,933
"[[34.0, 2.0, 2.0], [5.0, 23.0, 3.0], [14.0, 0.0, 17.0]]",2399,2439,510
"[[18.0, 18.0, 18.0], [18.0, 18.0, 10.0], [0.0, 0.0, 0.0]]",2399,2562,387
"[[13.0, 13.0, 13.0], [13.0, 9.0, 13.0], [0.0, 13.0, 13.0]]",2398,2678,272
"[[0.0, 12.0, 12.0], [12.0, 12.0, 13.0], [13.0, 13.0, 13.0]]",2398,2682,268
"[[4.0, 2.0, 16.0], [2.0, 1.0, 3.0], [32.0, 32.0, 8.0]]",2398,2683,267
"[[15.0, 15.0, 15.0], [15.0, 0.0, 15.0], [15.0, 10.0, 0.0]]",2397,2582,369
"[[0.0, 12.0, 13.0], [12.0, 12.0, 13.0], [12.0, 13.0, 13.0]]",2397,2682,269
"[[12.0, 13.0, 12.0], [13.0, 0.0, 13.0], [12.0, 13.0, 12.0]]",2396,2661,291
"[[12.0, 13.0, 12.0], [13.0, 0.0, 13.0], [12.0, 13.0, 12.0]]",2396,2661,291
"[[12.0, 13.0, 12.0], [13.0, 0.0, 13.0], [12.0, 13.0, 12.0]]",2396,2661,291
"[[0.0, 0.0, 0.0], [14.0, 25.0, 25.0], [0.0, 22.0, 14.0]]",2396,2061,891
"[[12.0, 13.0, 12.0], [13.0, 0.0, 13.0], [12.0, 13.0, 12.0]]",2396,2661,291
"[[0.0, 2.0, 14.0], [14.0, 14.0, 14.0], [14.0, 14.0, 14.0]]",2394,2665,289
"[[0.0, 20.0, 20.0], [20.0, 20.0, 0.0], [0.0, 20.0, 0.0]]",2394,1526,1428
"[[0.0, 20.0, 20.0], [20.0, 20.0, 0.0], [0.0, 20.0, 0.0]]",2394,1526,1428
"[[13.0, 0.0, 11.0], [14.0, 11.0, 13.0], [12.0, 14.0, 12.0]]",2393,2735,220
"[[19.0, 19.0, 19.0], [19.0, 19.0, 5.0], [0.0, 0.0, 0.0]]",2391,2626,331
"[[0.0, 20.0, 0.0], [20.0, 20.0, 0.0], [20.0, 20.0, 0.0]]",2391,1530,1427
"[[0.0, 20.0, 0.0], [20.0, 20.0, 0.0], [20.0, 20.0, 0.0]]",2391,1530,1427
"[[0.0, 20.0, 0.0], [20.0, 20.0, 0.0], [20.0, 20.0, 0.0]]",2391,1530,1427
"[[0.0, 20.0, 0.0], [20.0, 20.0, 0.0], [20.0, 20.0, 0.0]]",2391,1530,1427
"[[19.0, 19.0, 19.0], [19.0, 19.0, 5.0], [0.0, 0.0, 0.0]]",2391,2626,331
"[[19.0, 19.0, 19.0], [5.0, 19.0, 19.0], [0.0, 0.0, 0.0]]",2391,2643,314
"[[19.0, 19.0, 19.0], [19.0, 19.0, 5.0], [0.0, 0.0, 0.0]]",2391,2626,331
"[[30.0, 30.0, 30.0], [2.0, 2.0, 1.0], [2.0, 1.0, 2.0]]",2389,2724,235
"[[19.0, 15.0, 16.0], [0.0, 0.0, 0.0], [18.0, 15.0, 17.0]]",2389,2651,308
"[[1.0, 36.0, 23.0], [15.0, 10.0, 7.0], [5.0, 2.0, 1.0]]",2389,2584,375
"[[1.0, 2.0, 3.0], [5.0, 8.0, 13.0], [21.0, 34.0, 13.0]]",2388,2518,442
"[[1.0, 2.0, 3.0], [5.0, 8.0, 13.0], [21.0, 34.0, 13.0]]",2388,2518,442
"[[0.0, 0.0, 0.0], [20.0, 20.0, 20.0], [20.0, 0.0, 20.0]]",2387,1497,1464
"[[21.0, 0.0, 20.0], [19.0, 20.0, 0.0], [0.0, 0.0, 20.0]]",2387,1903,1058
"[[0.0, 0.0, 0.0], [20.0, 20.0, 20.0], [20.0, 0.0, 20.0]]",2387,1497,1464
"[[0.0, 0.0, 0.0], [20.0, 20.0, 20.0], [20.0, 0.0, 20.0]]",2387,1497,1464
"[[0.0, 0.0, 0.0], [20.0, 20.0, 20.0], [20.0, 0.0, 20.0]]",2387,1497,1464
"[[0.0, 0.0, 0.0], [20.0, 20.0, 20.0], [20.0, 0.0, 20.0]]",2387,1497,1464
"[[2.0, 3.0, 20.0], [6.0, 34.0, 2.0], [23.0, 10.0, 0.0]]",2386,2194,768
"[[15.0, 15.0, 15.0], [10.0, 20.0, 10.0], [5.0, 5.0, 5.0]]",2386,1759,1203
"[[12.0, 12.0, 12.0], [8.0, 10.0, 12.0], [12.0, 12.0, 10.0]]",2386,2687,275
"[[25.0, 1.0, 0.0], [1.0, 25.0, 21.0], [1.0, 1.0, 25.0]]",2386,2465,497
"[[12.0, 12.0, 11.0], [12.0, 12.0, 10.0], [9.0, 10.0, 12.0]]",2385,2663,300
"[[14.0, 0.0, 13.0], [12.0, 11.0, 14.0], [14.0, 11.0, 11.0]]",2385,2691,272
"[[12.0, 12.0, 16.0], [12.0, 12.0, 0.0], [12.0, 12.0, 12.0]]",2385,2611,352
"[[12.0, 12.0, 11.0], [11.0, 8.0, 12.0], [10.0, 12.0, 12.0]]",2384,2705,259
"[[0.0, 0.0, 10.0], [15.0, 15.0, 15.0], [15.0, 15.0, 15.0]]",2383,2571,394
"[[0.0, 0.0, 10.0], [15.0, 15.0, 15.0], [15.0, 15.0, 15.0]]",2383,2571,394
"[[0.0, 0.0, 10.0], [15.0, 15.0, 15.0], [15.0, 15.0, 15.0]]",2383,2571,394
"[[0.0, 0.0, 10.0], [15.0, 15.0, 15.0], [15.0, 15.0, 15.0]]",2383,2571,394
"[[0.0, 0.0, 10.0], [15.0, 15.0, 15.0], [15.0, 15.0, 15.0]]",2383,2571,394
"[[0.0, 0.0, 10.0], [15.0, 15.0, 15.0], [15.0, 15.0, 15.0]]",2383,2571,394
"[[0.0, 0.0, 10.0], [15.0, 15.0, 15.0], [15.0, 15.0, 15.0]]",2383,2571,394
"[[0.0, 0.0, 10.0], [15.0, 15.0, 15.0], [15.0, 15.0, 15.0]]",2383,2571,394
"[[23.0, 8.0, 23.0], [0.0, 23.0, 0.0], [0.0, 23.0, 0.0]]",2383,2500,465
"[[0.0, 0.0, 10.0], [15.0, 15.0, 15.0], [15.0, 15.0, 15.0]]",2383,2571,394
"[[0.0, 0.0, 10.0], [15.0, 15.0, 15.0], [15.0, 15.0, 15.0]]",2383,2571,394
"[[0.0, 0.0, 10.0], [15.0, 15.0, 15.0], [15.0, 15.0, 15.0]]",2383,2571,394
"[[0.0, 0.0, 10.0], [15.0, 15.0, 15.0], [15.0, 15.0, 15.0]]",2383,2571,394
"[[0.0, 0.0, 10.0], [15.0, 15.0, 15.0], [15.0, 15.0, 15.0]]",2383,2571,394
"[[0.0, 12.0, 12.0], [12.0, 16.0, 12.0], [12.0, 12.0, 12.0]]",2382,2629,337
"[[0.0, 12.0, 12.0], [12.0, 16.0, 12.0], [12.0, 12.0, 12.0]]",2382,2629,337
"[[0.0, 12.0, 12.0], [12.0, 16.0, 12.0], [12.0, 12.0, 12.0]]",2382,2629,337
"[[0.0, 12.0, 12.0], [12.0, 16.0, 12.0], [12.0, 12.0, 12.0]]",2382,2629,337
"[[13.0, 13.0, 13.0], [13.0, 13.0, 13.0], [13.0, 9.0, 0.0]]",2380,2681,287
"[[13.0, 13.0, 13.0], [13.0, 13.0, 13.0], [13.0, 9.0, 0.0]]",2380,2681,287
"[[13.0, 13.0, 13.0], [13.0, 13.0, 13.0], [13.0, 9.0, 0.0]]",2380,2681,287
"[[13.0, 13.0, 13.0], [13.0, 13.0, 13.0], [13.0, 9.0, 0.0]]",2380,2681,287
"[[4.0, 0.0, 13.0], [13.0, 13.0, 13.0], [13.0, 13.0, 13.0]]",2380,2720,248
"[[13.0, 13.0, 13.0], [13.0, 13.0, 13.0], [13.0, 9.0, 0.0]]",2380,2681,287
"[[13.0, 13.0, 13.0], [13.0, 13.0, 13.0], [13.0, 9.0, 0.0]]",2380,2681,287
"[[13.0, 13.0, 13.0], [13.0, 13.0, 13.0], [13.0, 9.0, 0.0]]",2380,2681,287
"[[13.0, 13.0, 13.0], [13.0, 13.0, 13.0], [13.0, 9.0, 0.0]]",2380,2681,287
"[[13.0, 13.0, 13.0], [13.0, 13.0, 13.0], [13.0, 9.0, 0.0]]",2380,2681,287
"[[13.0, 13.0, 13.0], [13.0, 13.0, 13.0], [13.0, 9.0, 0.0]]",2380,2681,287
"[[13.0, 13.0, 13.0], [13.0, 13.0, 13.0], [13.0, 9.0, 0.0]]",2380,2681,287
"[[13.0, 13.0, 13.0], [13.0, 13.0, 13.0], [13.0, 9.0, 0.0]]",2380,2681,287
"[[13.0, 13.0, 13.0], [13.0, 13.0, 13.0], [13.0, 9.0, 0.0]]",2380,2681,287
"[[13.0, 13.0, 13.0], [13.0, 13.0, 13.0], [13.0, 9.0, 0.0]]",2380,2681,287
"[[13.0, 13.0, 13.0], [13.0, 13.0, 13.0], [13.0, 9.0, 0.0]]",2380,2681,287
"[[13.0, 13.0, 13.0], [13.0, 13.0, 13.0], [13.0, 9.0, 0.0]]",2380,2681,287
"[[13.0, 13.0, 13.0], [13.0, 13.0, 13.0], [13.0, 9.0, 0.0]]",2380,2681,287
"[[15.0, 15.0, 15.0], [15.0, 15.0, 25.0], [0.0, 0.0, 0.0]]",2379,2472,497
"[[13.0, 13.0, 13.0], [12.0, 0.0, 13.0], [12.0, 12.0, 12.0]]",2379,2635,334
"[[12.0, 12.0, 12.0], [16.0, 16.0, 16.0], [16.0, 0.0, 0.0]]",2379,2601,368
"[[13.0, 13.0, 13.0], [12.0, 0.0, 13.0], [12.0, 12.0, 12.0]]",2379,2635,334
"[[15.0, 15.0, 15.0], [15.0, 15.0, 25.0], [0.0, 0.0, 0.0]]",2379,2472,497
"[[0.0, 20.0, 20.0], [0.0, 20.0, 20.0], [20.0, 0.0, 0.0]]",2378,1596,1374
"[[0.0, 20.0, 20.0], [0.0, 20.0, 20.0], [20.0, 0.0, 0.0]]",2378,1596,1374
"[[0.0, 16.0, 16.0], [0.0, 16.0, 16.0], [0.0, 16.0, 20.0]]",2378,2593,377
"[[0.0, 20.0, 20.0], [0.0, 20.0, 20.0], [20.0, 0.0, 0.0]]",2378,1596,1374
"[[0.0, 20.0, 20.0], [0.0, 20.0, 20.0], [20.0, 0.0, 0.0]]",2378,1596,1374
"[[13.0, 12.0, 13.0], [12.0, 0.0, 12.0], [13.0, 12.0, 13.0]]",2377,2681,290
"[[13.0, 12.0, 13.0], [12.0, 0.0, 12.0], [13.0, 12.0, 13.0]]",2377,2681,290
"[[13.0, 12.0, 13.0], [12.0, 0.0, 12.0], [13.0, 12.0, 13.0]]",2377,2681,290
"[[0.0, 0.0, 0.0], [20.0, 20.0, 20.0], [0.0, 20.0, 20.0]]",2377,1514,1457
"[[13.0, 12.0, 13.0], [12.0, 0.0, 12.0], [13.0, 12.0, 13.0]]",2377,2681,290
"[[0.0, 5.0, 30.0], [1.0, 20.0, 5.0], [15.0, 20.0, 4.0]]",2377,2122,849
"[[0.0, 25.0, 0.0], [18.0, 20.0, 22.0], [0.0, 15.0, 0.0]]",2376,1868,1104
"[[1.0, 11.0, 14.0], [13.0, 11.0, 16.0], [12.0, 11.0, 11.0]]",2376,2615,357
"[[0.0, 25.0, 0.0], [18.0, 20.0, 22.0], [0.0, 15.0, 0.0]]",2376,1868,1104
"[[0.0, 22.0, 0.0], [0.0, 12.0, 0.0], [22.0, 22.0, 22.0]]",2375,1968,1005
"[[10.0, 11.0, 12.0], [13.0, 8.0, 13.0], [12.0, 11.0, 10.0]]",2375,2697,276
"[[3.0, 1.0, 0.0], [36.0, 23.0, 15.0], [10.0, 7.0, 5.0]]",2374,2333,641
"[[16.0, 16.0, 0.0], [0.0, 17.0, 17.0], [17.0, 17.0, 0.0]]",2374,2638,336
"[[3.0, 1.0, 0.0], [36.0, 23.0, 15.0], [10.0, 7.0, 5.0]]",2374,2333,641
"[[20.0, 16.0, 16.0], [16.0, 16.0, 16.0], [0.0, 0.0, 0.0]]",2374,2605,369
"[[3.0, 1.0, 0.0], [36.0, 23.0, 15.0], [10.0, 7.0, 5.0]]",2374,2333,641
"[[1.0, 12.0, 12.0], [12.0, 12.0, 12.0], [12.0, 12.0, 15.0]]",2374,2607,367
"[[3.0, 1.0, 0.0], [36.0, 23.0, 15.0], [10.0, 7.0, 5.0]]",2374,2333,641
"[[20.0, 16.0, 16.0], [16.0, 16.0, 16.0], [0.0, 0.0, 0.0]]",2374,2605,369
"[[0.0, 13.0, 1.0], [14.0, 15.0, 14.0], [14.0, 14.0, 14.0]]",2373,2638,337
"[[18.0, 0.0, 18.0], [0.0, 18.0, 0.0], [18.0, 10.0, 18.0]]",2372,2550,426
"[[1.0, 3.0, 6.0], [10.0, 10.0, 10.0], [20.0, 20.0, 20.0]]",2371,2253,724
"[[0.0, 20.0, 20.0], [0.0, 20.0, 0.0], [20.0, 20.0, 0.0]]",2370,1596,1382
"[[0.0, 20.0, 20.0], [0.0, 20.0, 0.0], [20.0, 20.0, 0.0]]",2370,1596,1382
"[[15.0, 0.0, 16.0], [17.0, 14.0, 18.0], [10.0, 10.0, 0.0]]",2370,2519,459
"[[0.0, 20.0, 20.0], [0.0, 20.0, 0.0], [20.0, 20.0, 0.0]]",2370,1596,1382
"[[0.0, 20.0, 20.0], [0.0, 20.0, 0.0], [20.0, 20.0, 0.0]]",2370,1596,1382
"[[0.0, 20.0, 20.0], [0.0, 20.0, 0.0], [20.0, 20.0, 0.0]]",2370,1596,1382
"[[8.0, 11.0, 11.0], [11.0, 20.0, 11.0], [11.0, 6.0, 11.0]]",2367,2017,964
"[[15.0, 15.0, 15.0], [0.0, 15.0, 0.0], [15.0, 10.0, 15.0]]",2367,2627,354
"[[8.0, 11.0, 11.0], [11.0, 20.0, 11.0], [11.0, 6.0, 11.0]]",2367,2017,964
"[[25.0, 0.0, 15.0], [0.0, 25.0, 0.0], [15.0, 0.0, 20.0]]",2366,2051,931
"[[0.0, 15.0, 15.0], [10.0, 15.0, 15.0], [0.0, 15.0, 15.0]]",2366,2624,358
"[[21.0, 34.0, 13.0], [5.0, 8.0, 13.0], [1.0, 2.0, 3.0]]",2364,2552,432
"[[13.0, 13.0, 13.0], [13.0, 13.0, 13.0], [9.0, 13.0, 0.0]]",2362,2713,273
"[[15.0, 8.0, 14.0], [12.0, 8.0, 9.0], [15.0, 6.0, 13.0]]",2362,2583,403
"[[0.0, 0.0, 0.0], [0.0, 17.0, 20.0], [18.0, 20.0, 25.0]]",2362,2521,465
"[[12.0, 14.0, 16.0], [10.0, 20.0, 18.0], [8.0, 0.0, 2.0]]",2361,1875,1112
"[[0.0, 0.0, 10.0], [15.0, 15.0, 15.0], [20.0, 15.0, 10.0]]",2361,2497,490
"[[12.0, 20.0, 12.0], [0.0, 12.0, 0.0], [12.0, 20.0, 12.0]]",2360,2412,576
"[[0.0, 0.0, 0.0], [15.0, 15.0, 15.0], [15.0, 15.0, 25.0]]",2360,2457,531
"[[15.0, 15.0, 15.0], [15.0, 15.0, 15.0], [0.0, 10.0, 0.0]]",2359,2651,338
"[[13.0, 13.0, 13.0], [13.0, 0.0, 12.0], [12.0, 12.0, 12.0]]",2359,2638,351
"[[15.0, 15.0, 15.0], [15.0, 15.0, 15.0], [0.0, 10.0, 0.0]]",2359,2651,338
"[[3.0, 3.0, 3.0], [11.0, 11.0, 11.0], [19.0, 19.0, 20.0]]",2358,2129,861
"[[5.0, 15.0, 35.0], [5.0, 15.0, 10.0], [2.0, 10.0, 3.0]]",2358,2673,317
"[[13.0, 13.0, 13.0], [13.0, 13.0, 13.0], [12.0, 10.0, 0.0]]",2357,2688,303
"[[0.0, 20.0, 0.0], [0.0, 20.0, 20.0], [20.0, 20.0, 0.0]]",2355,1525,1468
"[[1.0, 6.0, 16.0], [6.0, 16.0, 6.0], [16.0, 6.0, 21.0]]",2355,2568,425
"[[2.0, 30.0, 8.0], [10.0, 15.0, 5.0], [10.0, 17.0, 3.0]]",2355,2638,355
"[[20.0, 20.0, 10.0], [10.0, 9.0, 8.0], [7.0, 6.0, 10.0]]",2355,2376,617
"[[13.0, 13.0, 0.0], [13.0, 12.0, 10.0], [14.0, 12.0, 13.0]]",2355,2644,349
"[[20.0, 0.0, 20.0], [20.0, 20.0, 20.0], [0.0, 0.0, 0.0]]",2354,1567,1427
"[[20.0, 0.0, 20.0], [20.0, 20.0, 20.0], [0.0, 0.0, 0.0]]",2354,1567,1427
"[[20.0, 0.0, 20.0], [20.0, 20.0, 20.0], [0.0, 0.0, 0.0]]",2354,1567,1427
"[[20.0, 0.0, 20.0], [20.0, 20.0, 20.0], [0.0, 0.0, 0.0]]",2354,1567,1427
"[[20.0, 0.0, 20.0], [20.0, 20.0, 20.0], [0.0, 0.0, 0.0]]",2354,1567,1427
"[[20.0, 0.0, 20.0], [20.0, 20.0, 20.0], [0.0, 0.0, 0.0]]",2354,1567,1427
"[[5.0, 3.0, 12.0], [3.0, 5.0, 12.0], [30.0, 10.0, 20.0]]",2353,2537,458
"[[10.0, 20.0, 10.0], [10.0, 10.0, 20.0], [5.0, 5.0, 10.0]]",2353,2189,806
"[[0.0, 14.0, 14.0], [14.0, 0.0, 15.0], [14.0, 15.0, 14.0]]",2353,2730,265
"[[0.0, 20.0, 20.0], [0.0, 20.0, 20.0], [0.0, 20.0, 0.0]]",2352,1612,1384
"[[0.0, 20.0, 20.0], [0.0, 20.0, 20.0], [0.0, 20.0, 0.0]]",2352,1612,1384
"[[0.0, 20.0, 20.0], [0.0, 20.0, 20.0], [0.0, 20.0, 0.0]]",2352,1612,1384
"[[0.0, 20.0, 20.0], [0.0, 20.0, 20.0], [0.0, 20.0, 0.0]]",2352,1612,1384
"[[11.0, 16.0, 13.0], [14.0, 9.0, 10.0], [15.0, 0.0, 12.0]]",2351,2604,393
"[[15.0, 20.0, 15.0], [20.0, 15.0, 0.0], [15.0, 0.0, 0.0]]",2351,2437,560
"[[15.0, 10.0, 15.0], [0.0, 15.0, 0.0], [15.0, 15.0, 15.0]]",2351,2627,370
"[[1.0, 2.0, 4.0], [8.0, 16.0, 32.0], [16.0, 8.0, 13.0]]",2349,2511,488
"[[9.0, 9.0, 9.0], [9.0, 9.0, 9.0], [9.0, 9.0, 28.0]]",2349,2941,58
"[[1.0, 2.0, 4.0], [8.0, 16.0, 32.0], [16.0, 8.0, 13.0]]",2349,2511,488
"[[1.0, 2.0, 4.0], [8.0, 16.0, 32.0], [16.0, 8.0, 13.0]]",2349,2511,488
"[[9.0, 9.0, 9.0], [9.0, 9.0, 9.0], [9.0, 9.0, 28.0]]",2349,2941,58
"[[27.0, 22.0, 22.0], [11.0, 11.0, 4.0], [3.0, 0.0, 0.0]]",2348,2382,618
"[[20.0, 0.0, 0.0], [20.0, 20.0, 20.0], [20.0, 0.0, 0.0]]",2348,1600,1400
"[[20.0, 0.0, 0.0], [20.0, 20.0, 20.0], [20.0, 0.0, 0.0]]",2348,1600,1400
"[[17.0, 0.0, 17.0], [0.0, 32.0, 0.0], [17.0, 0.0, 17.0]]",2348,2599,401
"[[20.0, 0.0, 0.0], [20.0, 20.0, 20.0], [20.0, 0.0, 0.0]]",2348,1600,1400
"[[15.0, 2.0, 15.0], [0.0, 2.0, 15.0], [15.0, 15.0, 15.0]]",2347,2593,408
"[[30.0, 1.0, 1.0], [3.0, 31.0, 2.0], [1.0, 30.0, 1.0]]",2347,2725,276
"[[0.0, 0.0, 14.0], [15.0, 14.0, 15.0], [14.0, 14.0, 14.0]]",2347,2760,241
"[[12.0, 13.0, 13.0], [13.0, 10.0, 13.0], [13.0, 13.0, 0.0]]",2346,2731,271
"[[9.0, 10.0, 11.0], [16.0, 0.0, 12.0], [15.0, 14.0, 13.0]]",2346,2482,520
"[[9.0, 19.0, 19.0], [19.0, 19.0, 15.0], [0.0, 0.0, 0.0]]",2345,2625,378
"[[0.0, 15.0, 15.0], [15.0, 15.0, 10.0], [15.0, 15.0, 0.0]]",2345,2637,366
"[[10.0, 10.0, 10.0], [9.0, 9.0, 9.0], [11.0, 11.0, 21.0]]",2344,2659,345
"[[8.0, 16.0, 16.0], [4.0, 12.0, 16.0], [0.0, 19.0, 9.0]]",2344,2360,644
"[[24.0, 24.0, 24.0], [23.0, 1.0, 1.0], [1.0, 0.0, 1.0]]",2344,2522,482
"[[12.0, 12.0, 12.0], [12.0, 13.0, 13.0], [13.0, 13.0, 0.0]]",2343,2728,277
"[[14.0, 14.0, 14.0], [14.0, 14.0, 14.0], [14.0, 2.0, 0.0]]",2343,2721,284
"[[9.0, 12.0, 14.0], [10.0, 0.0, 15.0], [11.0, 13.0, 16.0]]",2343,2512,493
"[[2.0, 30.0, 30.0], [30.0, 2.0, 2.0], [2.0, 2.0, 0.0]]",2342,2694,312
"[[20.0, 0.0, 15.0], [5.0, 20.0, 0.0], [20.0, 0.0, 20.0]]",2341,1846,1161
"[[4.0, 4.0, 4.0], [4.0, 68.0, 4.0], [4.0, 4.0, 4.0]]",2341,2920,87
"[[20.0, 19.0, 20.0], [0.0, 18.0, 23.0], [0.0, 0.0, 0.0]]",2340,2327,681
"[[0.0, 0.0, 14.0], [14.0, 15.0, 15.0], [14.0, 14.0, 14.0]]",2339,2753,256
"[[10.0, 10.0, 10.0], [20.0, 20.0, 20.0], [5.0, 5.0, 0.0]]",2339,1960,1049
"[[12.0, 12.0, 11.0], [10.0, 10.0, 9.0], [12.0, 12.0, 12.0]]",2337,2752,259
"[[15.0, 10.0, 10.0], [5.0, 5.0, 5.0], [20.0, 10.0, 20.0]]",2336,2413,599
"[[12.0, 12.0, 0.0], [12.0, 12.0, 16.0], [12.0, 12.0, 12.0]]",2336,2683,329
"[[7.0, 7.0, 7.0], [7.0, 7.0, 44.0], [7.0, 7.0, 7.0]]",2335,2973,40
"[[20.0, 0.0, 0.0], [20.0, 20.0, 20.0], [0.0, 20.0, 0.0]]",2335,1630,1383
"[[20.0, 0.0, 0.0], [20.0, 20.0, 20.0], [0.0, 20.0, 0.0]]",2335,1630,1383
"[[20.0, 0.0, 0.0], [20.0, 20.0, 20.0], [0.0, 20.0, 0.0]]",2335,1630,1383
"[[20.0, 20.0, 0.0], [20.0, 20.0, 20.0], [0.0, 0.0, 0.0]]",2334,1581,1433
"[[30.0, 30.0, 2.0], [30.0, 2.0, 1.0], [2.0, 2.0, 1.0]]",2334,2756,258
"[[15.0, 5.0, 4.0], [13.0, 8.0, 17.0], [1.0, 30.0, 7.0]]",2334,2579,435
"[[14.0, 15.0, 16.0], [10.0, 12.0, 13.0], [9.0, 5.0, 6.0]]",2333,2321,694
