strategy,wins,losses,draws
"[[21.0, 1.0, 21.0], [21.0, 1.0, 21.0], [1.0, 12.0, 1.0]]",3720,1061,567
"[[1.0, 21.0, 1.0], [12.0, 21.0, 21.0], [1.0, 21.0, 1.0]]",3714,1057,577
"[[1.0, 21.0, 21.0], [21.0, 21.0, 1.0], [12.0, 1.0, 1.0]]",3711,1051,586
"[[1.0, 1.0, 21.0], [1.0, 21.0, 1.0], [21.0, 21.0, 12.0]]",3705,1045,598
"[[24.0, 16.0, 17.0], [15.0, 1.0, 1.0], [1.0, 23.0, 2.0]]",3704,1113,531
"[[2.0, 15.0, 2.0], [15.0, 32.0, 15.0], [2.0, 15.0, 2.0]]",3702,1361,285
"[[1.0, 21.0, 21.0], [21.0, 21.0, 12.0], [1.0, 1.0, 1.0]]",3699,1099,550
"[[1.0, 1.0, 1.0], [21.0, 21.0, 21.0], [21.0, 1.0, 12.0]]",3696,1087,565
"[[1.0, 2.0, 12.0], [20.0, 21.0, 21.0], [21.0, 1.0, 1.0]]",3692,1050,606
"[[1.0, 21.0, 21.0], [1.0, 1.0, 21.0], [1.0, 21.0, 12.0]]",3692,1041,615
"[[1.0, 21.0, 21.0], [1.0, 1.0, 21.0], [1.0, 21.0, 12.0]]",3692,1041,615
"[[1.0, 1.0, 21.0], [1.0, 21.0, 21.0], [1.0, 21.0, 12.0]]",3687,1079,582
"[[21.0, 1.0, 1.0], [12.0, 21.0, 21.0], [21.0, 1.0, 1.0]]",3687,1116,545
"[[1.0, 1.0, 21.0], [1.0, 21.0, 21.0], [1.0, 21.0, 12.0]]",3687,1079,582
"[[1.0, 1.0, 21.0], [1.0, 21.0, 21.0], [1.0, 21.0, 12.0]]",3687,1079,582
"[[19.0, 19.0, 21.0], [1.0, 21.0, 14.0], [2.0, 1.0, 2.0]]",3678,1263,407
"[[12.0, 1.0, 21.0], [21.0, 1.0, 21.0], [1.0, 1.0, 21.0]]",3677,1143,528
"[[1.0, 23.0, 1.0], [13.0, 13.0, 23.0], [23.0, 2.0, 1.0]]",3676,1223,449
"[[21.0, 21.0, 12.0], [21.0, 21.0, 1.0], [1.0, 1.0, 1.0]]",3675,1196,477
"[[1.0, 21.0, 1.0], [1.0, 1.0, 21.0], [21.0, 21.0, 12.0]]",3675,1008,665
"[[1.0, 21.0, 1.0], [1.0, 21.0, 1.0], [21.0, 21.0, 12.0]]",3674,1073,601
"[[1.0, 1.0, 21.0], [1.0, 21.0, 21.0], [12.0, 1.0, 21.0]]",3672,1063,613
"[[21.0, 21.0, 21.0], [1.0, 1.0, 21.0], [1.0, 12.0, 1.0]]",3667,1120,561
"[[1.0, 1.0, 1.0], [12.0, 21.0, 21.0], [21.0, 21.0, 1.0]]",3666,1031,651
"[[0.0, 0.0, 0.0], [21.0, 21.0, 21.0], [21.0, 14.0, 2.0]]",3661,1216,471
"[[21.0, 1.0, 1.0], [21.0, 21.0, 12.0], [21.0, 1.0, 1.0]]",3660,1173,515
"[[21.0, 1.0, 1.0], [21.0, 21.0, 12.0], [21.0, 1.0, 1.0]]",3660,1173,515
"[[21.0, 1.0, 1.0], [21.0, 21.0, 12.0], [21.0, 1.0, 1.0]]",3660,1173,515
"[[21.0, 1.0, 1.0], [21.0, 21.0, 12.0], [21.0, 1.0, 1.0]]",3660,1173,515
"[[0.0, 0.0, 14.0], [21.0, 21.0, 21.0], [21.0, 1.0, 1.0]]",3659,1194,495
"[[3.0, 3.0, 3.0], [15.0, 3.0, 25.0], [16.0, 16.0, 16.0]]",3659,1407,282
"[[2.0, 2.0, 2.0], [20.0, 20.0, 20.0], [20.0, 2.0, 12.0]]",3657,1056,635
"[[1.0, 1.0, 1.0], [20.0, 20.0, 1.0], [20.0, 20.0, 16.0]]",3655,1128,565
"[[5.0, 5.0, 22.0], [5.0, 22.0, 5.0], [22.0, 9.0, 5.0]]",3655,1509,184
"[[1.0, 18.0, 1.0], [19.0, 22.0, 19.0], [1.0, 18.0, 1.0]]",3654,1387,307
"[[20.0, 1.0, 1.0], [20.0, 1.0, 1.0], [20.0, 20.0, 16.0]]",3653,1165,530
"[[20.0, 1.0, 1.0], [20.0, 1.0, 1.0], [20.0, 20.0, 16.0]]",3653,1165,530
"[[3.0, 3.0, 3.0], [21.0, 12.0, 4.0], [21.0, 12.0, 21.0]]",3652,1228,468
"[[2.0, 2.0, 2.0], [2.0, 13.0, 13.0], [22.0, 22.0, 22.0]]",3650,1490,208
"[[1.0, 21.0, 21.0], [21.0, 1.0, 12.0], [1.0, 1.0, 21.0]]",3649,1076,623
"[[12.0, 22.0, 20.0], [20.0, 22.0, 1.0], [1.0, 1.0, 1.0]]",3648,1141,559
"[[15.0, 20.0, 20.0], [1.0, 21.0, 20.0], [1.0, 1.0, 1.0]]",3648,1175,525
"[[21.0, 1.0, 1.0], [21.0, 21.0, 1.0], [1.0, 12.0, 21.0]]",3648,1147,553
"[[12.0, 1.0, 21.0], [1.0, 21.0, 1.0], [21.0, 21.0, 1.0]]",3646,1130,572
"[[1.0, 1.0, 20.0], [20.0, 20.0, 20.0], [16.0, 1.0, 1.0]]",3646,1158,544
"[[21.0, 21.0, 12.0], [1.0, 1.0, 21.0], [1.0, 21.0, 1.0]]",3646,1119,583
"[[1.0, 20.0, 21.0], [1.0, 20.0, 20.0], [1.0, 15.0, 1.0]]",3645,1103,600
"[[3.0, 4.0, 3.0], [21.0, 12.0, 3.0], [12.0, 21.0, 21.0]]",3643,1193,512
"[[18.0, 1.0, 18.0], [1.0, 21.0, 1.0], [18.0, 1.0, 21.0]]",3643,1384,321
"[[21.0, 3.0, 23.0], [3.0, 23.0, 1.0], [1.0, 13.0, 12.0]]",3640,1186,522
"[[2.0, 21.0, 18.0], [19.0, 1.0, 18.0], [2.0, 17.0, 2.0]]",3639,1374,335
"[[1.0, 1.0, 1.0], [21.0, 21.0, 21.0], [1.0, 21.0, 12.0]]",3638,1101,609
"[[7.0, 12.0, 7.0], [12.0, 25.0, 12.0], [7.0, 12.0, 6.0]]",3637,1486,225
"[[1.0, 1.0, 12.0], [21.0, 21.0, 21.0], [1.0, 21.0, 1.0]]",3636,1127,585
"[[1.0, 1.0, 1.0], [20.0, 21.0, 20.0], [12.0, 12.0, 12.0]]",3635,1180,533
"[[2.0, 1.0, 21.0], [0.0, 21.0, 1.0], [21.0, 21.0, 12.0]]",3634,1005,709
"[[12.0, 12.0, 12.0], [2.0, 25.0, 2.0], [5.0, 25.0, 5.0]]",3631,1326,391
"[[12.0, 21.0, 1.0], [21.0, 21.0, 21.0], [1.0, 1.0, 1.0]]",3629,1126,593
"[[15.0, 3.0, 14.0], [3.0, 30.0, 3.0], [14.0, 3.0, 15.0]]",3629,1429,290
"[[12.0, 21.0, 1.0], [21.0, 21.0, 21.0], [1.0, 1.0, 1.0]]",3629,1126,593
"[[20.0, 20.0, 20.0], [15.0, 21.0, 1.0], [1.0, 1.0, 1.0]]",3629,1151,568
"[[1.0, 1.0, 21.0], [12.0, 21.0, 21.0], [1.0, 1.0, 21.0]]",3627,1162,559
"[[1.0, 1.0, 21.0], [12.0, 21.0, 21.0], [1.0, 1.0, 21.0]]",3627,1162,559
"[[1.0, 1.0, 21.0], [12.0, 21.0, 21.0], [1.0, 1.0, 21.0]]",3627,1162,559
"[[21.0, 21.0, 1.0], [1.0, 1.0, 1.0], [18.0, 18.0, 18.0]]",3627,1459,262
"[[15.0, 20.0, 20.0], [1.0, 21.0, 1.0], [1.0, 20.0, 1.0]]",3623,1166,559
"[[1.0, 1.0, 21.0], [1.0, 1.0, 12.0], [21.0, 21.0, 21.0]]",3618,1147,583
"[[14.0, 14.0, 16.0], [19.0, 2.0, 22.0], [6.0, 6.0, 1.0]]",3615,1371,362
"[[1.0, 21.0, 12.0], [1.0, 21.0, 21.0], [1.0, 1.0, 21.0]]",3614,1148,586
"[[1.0, 21.0, 1.0], [1.0, 1.0, 12.0], [21.0, 21.0, 21.0]]",3614,1158,576
"[[1.0, 20.0, 1.0], [20.0, 1.0, 20.0], [1.0, 20.0, 16.0]]",3613,1301,434
"[[1.0, 20.0, 1.0], [20.0, 1.0, 20.0], [1.0, 20.0, 16.0]]",3613,1301,434
"[[22.0, 1.0, 19.0], [1.0, 21.0, 1.0], [20.0, 1.0, 14.0]]",3612,1238,498
"[[1.0, 1.0, 13.0], [21.0, 21.0, 21.0], [21.0, 0.0, 1.0]]",3601,1160,587
"[[1.0, 1.0, 20.0], [20.0, 16.0, 20.0], [20.0, 1.0, 1.0]]",3600,1283,465
"[[15.0, 20.0, 21.0], [20.0, 21.0, 1.0], [1.0, 1.0, 0.0]]",3600,1127,621
"[[21.0, 21.0, 1.0], [12.0, 21.0, 1.0], [1.0, 21.0, 1.0]]",3597,1158,593
"[[21.0, 1.0, 1.0], [21.0, 21.0, 1.0], [12.0, 1.0, 21.0]]",3597,1186,565
"[[2.0, 2.0, 21.0], [2.0, 2.0, 21.0], [21.0, 21.0, 8.0]]",3596,1498,254
"[[16.0, 20.0, 20.0], [20.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",3591,1185,572
"[[16.0, 20.0, 20.0], [20.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",3591,1185,572
"[[16.0, 20.0, 20.0], [20.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",3591,1185,572
"[[3.0, 20.0, 3.0], [20.0, 13.0, 20.0], [3.0, 15.0, 3.0]]",3589,1171,588
"[[12.0, 21.0, 22.0], [21.0, 0.0, 1.0], [1.0, 21.0, 1.0]]",3589,1075,684
"[[21.0, 21.0, 21.0], [21.0, 1.0, 1.0], [1.0, 12.0, 1.0]]",3587,1252,509
